epoch,policy_loss,value_loss,entropy,reward_mean,recall
1,0.01123808946881798,0.0,0.0,0.018922375434943073,0.0
2,0.03767987443352468,0.0,0.0,0.04854203685053757,0.24487179487179486
3,0.042154521619280176,0.0,0.0,0.10365699639809983,0.22179487179487178
4,0.05484682344609783,0.0,0.0,0.1623751891546306,0.33333333333333337
5,0.056721000674934616,0.0,0.0,0.2118638422872339,0.3333333333333333
6,0.05661033982677119,0.0,0.0,0.2882971714791797,0.3012820512820513
7,0.03130722282055233,0.0,0.0,0.1818183892681485,0.0
8,0.03881455714754772,0.0,0.0,0.22297883220371748,0.044871794871794865
9,0.050982177427448774,0.0,0.0,0.37427987931739715,0.07051282051282051
10,0.04797692313468793,0.0,0.0,0.41028940167455447,0.0
11,0.025294088246300816,0.0,0.0,0.2185223050912221,0.3153846153846154
12,0.04336409478204414,0.0,0.0,0.315698864644482,0.15256410256410258
13,0.04044123287783891,0.0,0.0,0.338527125219504,0.0
14,0.040064862547608625,0.0,0.0,0.4215309655240604,0.12307692307692307
15,0.040820985608401576,0.0,0.0,0.4638979718869641,0.22820512820512823
16,0.0399009266126779,0.0,0.0,0.48149716990334646,0.10512820512820512
17,0.0322434788824813,0.0,0.0,0.4932853622379757,0.2576923076923077
18,0.031983271000596385,0.0,0.0,0.5037958026783808,0.2
19,0.03052940000669055,0.0,0.0,0.4951250460460072,0.11666666666666667
20,0.028191818044676135,0.0,0.0,0.5301720091558638,0.14871794871794872
21,0.019442541934993295,0.0,0.0,0.5019540534133002,0.06923076923076922
22,0.01660524661142734,0.0,0.0,0.48641682447422113,0.14358974358974358
23,0.015779446160221207,0.0,0.0,0.4877823513036682,0.12435897435897436
24,0.01494691202672021,0.0,0.0,0.48452000847884585,0.10897435897435898
25,0.01408827859309635,0.0,0.0,0.4891151746823674,0.16282051282051282
26,0.013841409415111966,0.0,0.0,0.5057817929983139,0.10128205128205128
27,0.00935058763259024,0.0,0.0,0.4773302594394911,0.10769230769230768
28,0.010062431554286464,0.0,0.0,0.49500168306486947,0.308974358974359
29,0.007564705397401538,0.0,0.0,0.4847319662145206,0.2423076923076923
30,0.010041126278450802,0.0,0.0,0.4785529803733031,0.23846153846153847
31,0.005100990612880283,0.0,0.0,0.4722726692756017,0.27051282051282055
32,0.007258650291034775,0.0,0.0,0.5001761170512153,0.24102564102564103
33,0.007238812065389495,0.0,0.0,0.49869147287947785,0.20897435897435898
34,0.006660255558727797,0.0,0.0,0.5019197322924932,0.20256410256410257
35,0.007096394347414995,0.0,0.0,0.5005289013612838,0.30128205128205127
36,0.008694695133072812,0.0,0.0,0.514411543295497,0.2782051282051282
37,0.0008989398597761811,0.0,0.0,0.47958263838575,0.11410256410256409
38,0.0025265071762814407,0.0,0.0,0.48380173632076806,0.21923076923076923
39,0.0035177859229623297,0.0,0.0,0.49528750123012627,0.23717948717948717
40,0.003220289774998535,0.0,0.0,0.49167422578448344,0.20384615384615384
41,0.005663865410800402,0.0,0.0,0.5193313454162507,0.2641025641025641
42,0.004986607618463625,0.0,0.0,0.5254318287684804,0.21666666666666667
43,0.007384869723596022,0.0,0.0,0.548460445602735,0.18846153846153849
44,0.005036821623105511,0.0,0.0,0.5343981755347479,0.2833333333333333
